season,Age,Squad,Comp,MP,Starts,Min,goal,Ast,PK,PKatt,CrdY,CrdR,g9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2008-2009,17,Genk,1 League,2,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2009-2010,18,Genk,1 League,31,17,1570,2,3,0,0,3,0,0.11,0.17,0.29,0.11,0.29,,,,,,,,,
2010-2011,19,Genk,1 League,32,30,2367,5,11,0,0,3,1,0.19,0.42,0.61,0.19,0.61,,,,,,,,,
2011-2012,20,Genk,2 Leagues,32,31,2626,8,11,0,0,2,0,0.27,0.38,0.65,0.27,0.65,,,,,,,,,
2012-2013,21,Werder Bremen,1 League,33,33,2965,10,9,0,0,4,0,0.3,0.27,0.58,0.3,0.58,,,,,,,,,
2013-2014,22,Chelsea,2 Leagues,6,2,157,0,1,0,0,1,0,0,0.57,0.57,0,0.57,,,,,,,,,
2013-2014,22,Wolfsburg,1 League,16,16,1413,3,6,0,0,3,1,0.19,0.38,0.57,0.19,0.57,,,,,,,,,
2014-2015,23,Wolfsburg,3 Leagues,51,51,4545,16,23,0,0,7,0,0.32,0.46,0.77,0.32,0.77,,,,,,,,,Matches
2015-2016,24,Wolfsburg,3 Leagues,4,4,374,1,2,0,0,1,0,0.24,0.48,0.72,0.24,0.72,,,,,,,,,Matches
2015-2016,24,Manchester City,4 Leagues,41,34,3112,16,12,0,0,3,0,0.46,0.35,0.81,0.46,0.81,,,,,,,,,Matches
2016-2017,25,Manchester City,4 Leagues,48,43,3822,7,18,0,1,6,0,0.16,0.42,0.59,0.16,0.59,,,,,,,,,Matches
2017-2018,26,Manchester City,4 Leagues,52,48,4180,12,21,0,0,6,0,0.26,0.45,0.71,0.26,0.71,5.6,5.6,12.6,0.16,0.37,0.53,0.16,0.53,Matches
2018-2019,27,Manchester City,4 Leagues,32,22,1820,6,10,0,0,2,0,0.3,0.49,0.79,0.3,0.79,2.8,2.8,4.1,0.21,0.3,0.51,0.21,0.51,Matches
2019-2020,28,Manchester City,5 Leagues,35,33,2827,9,19,1,1,4,0,0.29,0.6,0.89,0.25,0.86,6.3,5.5,15.2,0.22,0.54,0.76,0.2,0.73,Matches
