Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2009-2010,18,Napoli,1 League,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2011-2012,20,Pescara,1 League,37,37,3269,18,13,0,0,3,0,0.5,0.36,0.85,0.5,0.85,,,,,,,,,
2012-2013,21,Napoli,2 Leagues,42,20,2135,5,9,0,0,3,0,0.21,0.38,0.59,0.21,0.59,,,,,,,,,
2013-2014,22,Napoli,3 Leagues,46,31,2957,6,9,0,0,4,0,0.18,0.27,0.46,0.18,0.46,,,,,,,,,
2014-2015,23,Napoli,3 Leagues,26,16,1346,2,4,0,1,0,0,0.13,0.27,0.4,0.13,0.4,,,,,,,,,Matches
2015-2016,24,Napoli,3 Leagues,42,37,2832,13,11,2,2,3,0,0.41,0.35,0.76,0.35,0.7,,,,,,,,,Matches
2016-2017,25,Napoli,3 Leagues,48,45,3730,20,12,2,3,3,0,0.48,0.29,0.77,0.43,0.72,,,,,,,,,Matches
2017-2018,26,Napoli,4 Leagues,46,42,3676,13,12,1,1,5,0,0.32,0.29,0.61,0.29,0.59,13.9,13.1,8.8,0.4,0.26,0.66,0.38,0.64,Matches
2018-2019,27,Napoli,4 Leagues,41,36,3058,14,6,2,3,7,1,0.41,0.18,0.59,0.35,0.53,14.8,12.6,7,0.46,0.22,0.68,0.39,0.61,Matches
2019-2020,28,Napoli,3 Leagues,31,28,2319,9,6,5,5,2,0,0.35,0.23,0.58,0.16,0.39,10.2,7.9,5,0.43,0.21,0.64,0.33,0.54,Matches
