,,,,,,,,,,,,short,,,medium,,,long,,,,,,,,,,,
Name,Season,Age,Squad,Country,Comp,LgRank,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1月3日,PPA,CrsPA,Prog,Matches
de jong,2019-2020,22,Barcelona,es ESP,1. La Liga,1st,1419,1534,92.5,23852,5608,29,53,54.7,1165,1232,94.6,225,249,90.4,2,2.3,-0.3,22,142,18,2,107,Matches
arthur,2019-2020,22,Barcelona,es ESP,1. La Liga,1st,761,842,90.4,13220,2631,21,38,55.3,605,644,93.9,135,160,84.4,3,1.1,1.9,9,82,12,0,49,Matches
roca,2019-2020,22,Espanyol,es ESP,1. La Liga,20th,964,1202,80.2,20948,6378,18,42,42.9,662,758,87.3,284,402,70.6,1,1.3,-0.3,18,159,15,2,162,Matches
zubeldia,2019-2020,22,Real Sociedad,es ESP,1. La Liga,4th,1129,1272,88.8,23462,5847,8,21,38.1,809,865,93.5,312,386,80.8,1,0.4,0.6,3,53,1,0,74,Matches
fernando,2019-2020,32,Sevilla,es ESP,1. La Liga,3rd,1094,1216,90,23459,5556,23,32,71.9,722,789,91.5,349,395,88.4,2,0.5,1.5,8,74,6,3,66,Matches
casemiro,2019-2020,27,Real Madrid,es ESP,1. La Liga,2nd,1279,1533,83.4,25872,6648,36,66,54.5,906,1020,88.8,337,447,75.4,2,0.2,1.8,7,127,15,3,114,Matches
partey,2019-2020,26,Atlético Madrid,es ESP,1. La Liga,6th,1027,1246,82.4,19598,6418,32,50,64,768,859,89.4,227,337,67.4,0,0.9,-0.9,14,135,16,0,147,Matches
ascasibar,2019-2020,22,Hertha BSC,de GER,1. Bundesliga,9th,260,308,84.4,4750,931,9,17,52.9,197,223,88.3,54,68,79.4,1,0.2,0.8,2,12,1,1,21,Matches
witsel,2019-2020,30,Dortmund,de GER,1. Bundesliga,2nd,1371,1457,94.1,23280,4158,20,36,55.6,1127,1169,96.4,224,252,88.9,5,2.6,2.4,13,111,8,2,67,Matches
kimmich,2019-2020,24,Bayern Munich,de GER,1. Bundesliga,1st,2150,2511,85.6,44862,13112,20,49,40.8,1527,1632,93.6,603,830,72.7,6,7.3,-1.3,70,211,53,13,289,Matches
pjanic,2019-2020,29,Juventus,it ITA,1. Serie A,1st,1332,1523,87.5,23435,7620,29,53,54.7,1075,1150,93.5,228,320,71.3,2,1.7,0.3,25,152,19,2,155,Matches
brozovic,2019-2020,26,Inter,it ITA,1. Serie A,3rd,1432,1635,87.6,30623,7149,20,45,44.4,949,1035,91.7,463,555,83.4,5,2.1,2.9,33,145,30,1,163,Matches
lucas.l,2019-2020,32,Lazio,it ITA,1. Serie A,2nd,929,1050,88.5,18470,5275,16,34,47.1,684,749,91.3,229,267,85.8,1,2,-1,18,94,11,1,113,Matches
fabinho,2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,914,1058,86.4,19365,3773,9,23,39.1,635,703,90.3,270,332,81.3,1,1.2,-0.2,15,101,17,2,76,Matches
fernandinho,2019-2020,34,Manchester City,eng ENG,1. Premier League,2nd,1620,1784,90.8,36573,12096,7,20,35,1056,1121,94.2,557,643,86.6,0,0.3,-0.3,5,180,7,0,142,Matches
rodri,2019-2020,23,Manchester City,eng ENG,1. Premier League,2nd,1813,1957,92.6,37336,8504,15,30,50,1287,1356,94.9,511,571,89.5,1,1.3,-0.3,27,181,12,1,126,Matches
guendouzi,2019-2020,20,Arsenal,eng ENG,1. Premier League,9th,958,1079,88.8,18799,5217,14,38,36.8,708,762,92.9,236,279,84.6,1,1.1,-0.1,13,125,19,1,122,Matches
jorginho,2019-2020,27,Chelsea,eng ENG,1. Premier League,4th,1606,1836,87.5,30231,7682,29,45,64.4,1229,1351,91,348,440,79.1,2,2.2,-0.2,22,190,29,1,165,Matches
mctominay,2019-2020,22,Manchester Utd,eng ENG,1. Premier League,5th,663,825,80.4,13703,3287,9,24,37.5,466,553,84.3,188,248,75.8,1,0.7,0.3,13,70,9,2,65,Matches
tousart,2019-2020,22,Lyon,fr FRA,1. Ligue 1,7th,802,946,84.8,16087,3035,20,41,48.8,557,631,88.3,225,274,82.1,2,0.7,1.3,11,63,7,4,67,Matches
guimaraes,2019-2020,21,Lyon,fr FRA,1. Ligue 1,7th,175,194,90.2,3561,767,8,11,72.7,122,132,92.4,45,51,88.2,0,0.4,-0.4,5,18,2,0,13,Matches
paredes,2019-2020,25,Paris S-G,fr FRA,1. Ligue 1,1st,856,913,93.8,16287,4826,11,15,73.3,656,677,96.9,189,221,85.5,0,0.2,-0.2,3,96,6,0,84,Matches
verrati,2019-2020,26,Paris S-G,fr FRA,1. Ligue 1,1st,1607,1733,92.7,27030,8132,40,56,71.4,1303,1360,95.8,264,317,83.3,5,2.9,2.1,25,162,43,6,176,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
